StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2022-11-03	2022-11-03	1_EN#69-0630	20221103	1	1	06:36:45	2022-11-03 06:36:45	08:09:05	CRF	WT	Day1	EN#69
2022-11-03	2022-11-03	1_EN#70-0630	20221103	1	4	06:38:25	2022-11-03 06:38:25	08:09:14	CRF	WT	Day1	EN#70
2022-11-03	2022-11-03	2_EN#82-0824	20221103	2	4	08:20:55	2022-11-03 08:20:55	09:51:06	CRF	WT	Day1	EN#82
2022-11-03	2022-11-03	2_EN#48-0710	20221103	2	1	08:24:07	2022-11-03 08:24:07	09:54:14	CRF	WT	Day1	EN#48
2022-11-03	2022-11-03	3_EN#47-0710	20221103	3	2	09:48:04	2022-11-03 09:48:04	11:21:19	CRF	WT	Day1	EN#47
2022-11-03	2022-11-03	3_EN#52-0710	20221103	3	3	10:00:57	2022-11-03 10:00:57	11:32:09	CRF	WT	Day1	EN#52
2022-11-03	2022-11-03	4_EN#47-0802	20221103	4	1	11:44:26	2022-11-03 11:44:26	13:17:35	CRF	WT	Day1	EN#47
2022-11-03	2022-11-03	4_EN#70-0816	20221103	4	3	11:44:53	2022-11-03 11:44:53	13:15:02	CRF	WT	Day1	EN#70
2022-11-03	2022-11-03	5_EN#68-0816	20221103	5	4	13:18:43	2022-11-03 13:18:43	14:48:51	CRF	WT	Day1	EN#68
2022-11-03	2022-11-03	5_EN#49-0802	20221103	5	1	13:26:32	2022-11-03 13:26:32	14:57:02	CRF	WT	Day1	EN#49
2022-11-03	2022-11-03	6_EN#61-0823	20221103	6	3	14:56:37	2022-11-03 14:56:37	16:27:01	CRF	WT	Day1	EN#61
2022-11-03	2022-11-03	6_EN#60-0823	20221103	6	2	15:04:33	2022-11-03 15:04:33	16:19:17	CRF	WT	Day1	EN#60
2022-11-03	2022-11-03	7_EN#90-0902	20221103	7	4	16:11:38	2022-11-03 16:11:38	17:44:49	CRF	WT	Day1	EN#90
2022-11-03	2022-11-03	7_EN#88-0902	20221103	7	2	16:28:59	2022-11-03 16:28:59	17:59:07	CRF	WT	Day1	EN#88
2023-03-01	2023-03-01	1_EN#28-1012	20230301	1	2	05:55:36	2023-03-01 05:55:36	07:44:31	CRFv2023	WT	Day1	EN#28
2023-03-01	2023-03-01	1_EN#30-1012	20230301	1	4	05:55:47	2023-03-01 05:55:47	07:32:49	CRFv2023	WT	Day1	EN#30
2023-03-01	2023-03-01	2_EN#52-1125	20230301	2	4	07:39:45	2023-03-01 07:39:45	09:10:05	CRFv2023	WT	Day1	EN#52
2023-03-01	2023-03-01	2_EN#50-1125	20230301	2	2	07:51:12	2023-03-01 07:51:12	09:21:19	CRFv2023	WT	Day1	EN#50
2023-03-01	2023-03-01	4_EN#44-1126	20230301	4	3	10:42:05	2023-03-01 10:42:05	11:54:19	CRFv2023	WT	Day1	EN#44
